cokey,chkey,texdesc,texcl
26546666,79214927,Sandy clay,Sandy clay
26546666,79214928,Sandy clay,Sandy clay
26546666,79214929,Sandy clay,Sandy clay
26546666,79214930,Sandy clay,Sandy clay
26546666,79214931,Sandy loam,Sandy loam
26546655,79214870,Loamy sand,Loamy sand
26546655,79214871,Loamy sand,Loamy sand
26546655,79214872,Sandy loam,Sandy loam
26546655,79214873,Sandy clay loam,Sandy clay loam
26546655,79214874,Sandy clay loam,Sandy clay loam
26546655,79214875,Loamy sand,Loamy sand
26546670,79214949,Sandy clay,Sandy clay
26546670,79214950,Sandy loam,Sandy loam
26546670,79214951,Clay,Clay
26546658,79214885,Sand,Sand
26546658,79214886,Sand,Sand
26546658,79214887,Sand,Sand
26546658,79214888,Sand,Sand
26546659,79214889,Sandy loam,Sandy loam
26546659,79214890,Sandy clay loam,Sandy clay loam
26546659,79214891,Loamy sand,Loamy sand
26546659,79214892,Loamy sand,Loamy sand
26546649,79214837,Loamy sand,Loamy sand
26546649,79214838,Sandy clay loam,Sandy clay loam
26546649,79214839,Sandy loam,Sandy loam
26546649,79214840,Sandy clay loam,Sandy clay loam
26546656,79214876,Sandy clay loam,Sandy clay loam
26546656,79214877,Sandy clay loam,Sandy clay loam
26546656,79214878,Sandy loam,Sandy loam
26546656,79214879,Sandy loam,Sandy loam
26546635,79214785,Sandy loam,Sandy loam
26546635,79214786,Sandy clay loam,Sandy clay loam
26546635,79214787,Sandy clay loam,Sandy clay loam
26546635,79214788,Sandy clay loam,Sandy clay loam
26546641,79214803,Sandy loam,Sandy loam
26546641,79214804,Clay,Clay
26546651,79214848,Loamy sand,Loamy sand
26546651,79214849,Fine sandy loam,Fine sandy loam
26546651,79214850,Sandy clay,Sandy clay
26546651,79214851,Sandy clay loam,Sandy clay loam
26546651,79214852,Sandy clay loam,Sandy clay loam
26546651,79214853,Sandy clay loam,Sandy clay loam
26546651,79214854,Paragravelly sandy clay loam,Sandy clay loam
26546614,79214725,Sandy clay loam,Sandy clay loam
26546614,79214726,Loamy coarse sand,Loamy coarse sand
26546614,79214727,Loamy sand,Loamy sand
26546614,79214728,Sandy clay loam,Sandy clay loam
26566763,79279445,Fine sandy loam,Fine sandy loam
26566763,79279446,Sandy clay loam,Sandy clay loam
26566763,79279447,Sandy clay,Sandy clay
26566764,79279448,Fine sandy loam,Fine sandy loam
26566764,79279449,Sandy clay loam,Sandy clay loam
26566764,79279450,Sandy clay,Sandy clay
26566767,79279457,Sandy clay loam,Sandy clay loam
26566767,79279458,Sandy clay loam,Sandy clay loam
26566767,79279459,Sandy clay,Sandy clay
26566742,79279391,Fine sandy loam,Fine sandy loam
26566742,79279392,Sandy clay loam,Sandy clay loam
26566742,79279393,Clay,Clay
26566776,79279485,Fine sand,Fine sand
26566776,79279486,Sand,Sand
26567911,79282970,Sandy loam,Sandy loam
26567911,79282971,Loamy sand,Loamy sand
26567911,79282972,Sandy clay loam,Sandy clay loam
26567911,79282973,Sandy clay loam,Sandy clay loam
26567886,79282854,Loam,Loam
26567886,79282855,Sandy clay loam,Sandy clay loam
26567886,79282856,Clay,Clay
26567887,79282857,Sandy loam,Sandy loam
26567887,79282858,Clay,Clay
26567873,79282815,Sandy loam,Sandy loam
26567873,79282816,Clay,Clay
26567874,79282817,Sandy loam,Sandy loam
26567874,79282818,Clay,Clay
26567877,79282825,Loam,Loam
26567877,79282826,Sandy loam,Sandy loam
26567878,79282827,Loam,Loam
26567878,79282828,Sandy clay loam,Sandy clay loam
26567878,79282829,Sandy loam,Sandy loam
26567880,79282839,Loamy sand,Loamy sand
26567880,79282840,Sandy loam,Sandy loam
26567880,79282841,Sandy clay loam,Sandy clay loam
26567880,79282842,Paragravelly sandy clay loam,Sandy clay loam
26567880,79282843,Sandy clay loam,Sandy clay loam
26567881,79282844,Mucky loam,Loam
26567881,79282845,Stratified sand to loamy sand,Loamy sand
26567881,79282845,Stratified sand to loamy sand,Sand
26567881,79282846,Stratified sandy loam to fine sandy loam,Fine sandy loam
26567881,79282846,Stratified sandy loam to fine sandy loam,Sandy loam
26567915,79282993,Loam,Loam
26567915,79282994,Clay loam,Clay loam
26567915,79282995,Sandy loam,Sandy loam
26567915,79282996,Sandy clay loam,Sandy clay loam
26567916,79282997,Sandy loam,Sandy loam
26567916,79282998,Sandy loam,Sandy loam
26567916,79282999,Sandy loam,Sandy loam
26567916,79283000,Fine sandy loam,Fine sandy loam
26567900,79282911,Loamy sand,Loamy sand
26567900,79282912,Loamy sand,Loamy sand
26567900,79282913,Sandy loam,Sandy loam
26567900,79282914,Sandy clay loam,Sandy clay loam
26567895,79282884,Loamy sand,Loamy sand
26567895,79282885,Sandy loam,Sandy loam
26567895,79282886,Sandy clay loam,Sandy clay loam
26567895,79282887,Sandy clay loam,Sandy clay loam
26567895,79282888,Sandy clay loam,Sandy clay loam
26567895,79282889,Sandy loam,Sandy loam
26567897,79282894,Loamy sand,Loamy sand
26567897,79282895,Sandy clay loam,Sandy clay loam
26567897,79282896,Sandy loam,Sandy loam
26567897,79282897,Sandy clay loam,Sandy clay loam
26567888,79282859,Loamy sand,Loamy sand
26567888,79282860,Sandy clay loam,Sandy clay loam
26567888,79282861,Sandy clay loam,Sandy clay loam
26567889,79282862,Sandy loam,Sandy loam
26567889,79282863,Sandy clay loam,Sandy clay loam
26567889,79282864,Sandy clay loam,Sandy clay loam
26567889,79282865,Sandy clay loam,Sandy clay loam
26567890,79282866,Loamy sand,Loamy sand
26567890,79282867,Sandy loam,Sandy loam
26567890,79282868,Sandy clay loam,Sandy clay loam
26567890,79282869,Sandy clay loam,Sandy clay loam
26567899,79282904,Loamy sand,Loamy sand
26567899,79282905,Sandy clay,Sandy clay
26567899,79282906,Sandy clay loam,Sandy clay loam
26567899,79282907,Fine sandy loam,Fine sandy loam
26567899,79282908,Sandy clay loam,Sandy clay loam
26567899,79282909,Sandy clay loam,Sandy clay loam
26567899,79282910,Sandy clay loam,Sandy clay loam
26567905,79282934,Paragravelly sandy clay loam,Sandy clay loam
26567905,79282935,Sandy clay loam,Sandy clay loam
26567905,79282936,Sandy clay loam,Sandy clay loam
26567905,79282937,Gravelly sandy clay loam,Sandy clay loam
26567905,79282938,Sandy loam,Sandy loam
26567883,79282850,Sand,Sand
26567883,79282851,Sandy clay loam,Sandy clay loam
26573159,79300217,Sandy loam,Sandy loam
26573159,79300218,Sandy clay,Sandy clay
26573159,79300219,Sandy clay,Sandy clay
26573159,79300220,Sandy clay,Sandy clay
26573159,79300221,Sandy clay,Sandy clay
26573159,79300222,Sandy clay,Sandy clay
26573123,79300049,Loam,Loam
26573123,79300050,Sandy clay loam,Sandy clay loam
26573123,79300051,Clay,Clay
26573156,79300206,Loam,Loam
26573156,79300207,Clay loam,Clay loam
26573156,79300208,Sandy loam,Sandy loam
26573156,79300209,Sandy clay loam,Sandy clay loam
26573157,79300210,Sandy loam,Sandy loam
26573157,79300211,Sandy loam,Sandy loam
26573157,79300212,Sandy loam,Sandy loam
26573157,79300213,Fine sandy loam,Fine sandy loam
26573136,79300106,Loamy sand,Loamy sand
26573136,79300107,Loamy sand,Loamy sand
26573136,79300108,Sandy loam,Sandy loam
26573136,79300109,Sandy clay loam,Sandy clay loam
26573137,79300110,Loamy sand,Loamy sand
26573137,79300111,Loamy sand,Loamy sand
26573137,79300112,Sandy loam,Sandy loam
26573137,79300113,Sandy clay loam,Sandy clay loam
26573146,79300154,Sand,Sand
26573146,79300155,Sand,Sand
26573146,79300156,Sand,Sand
26573146,79300157,Sand,Sand
26573146,79300158,Sand,Sand
26573147,79300159,Sand,Sand
26573147,79300160,Sand,Sand
26573147,79300161,Sand,Sand
26573147,79300162,Sand,Sand
26573139,79300120,Loamy sand,Loamy sand
26573139,79300121,Sandy loam,Sandy loam
26573139,79300122,Sandy clay loam,Sandy clay loam
26573139,79300123,Sandy clay loam,Sandy clay loam
26573140,79300124,Loamy sand,Loamy sand
26573140,79300125,Sandy clay loam,Sandy clay loam
26573140,79300126,Sandy loam,Sandy loam
26573140,79300127,Sandy clay loam,Sandy clay loam
26573114,79300027,Loam,Loam
26573114,79300028,Sandy loam,Sandy loam
26573114,79300029,Loamy sand,Loamy sand
26573116,79300034,Sandy loam,Sandy loam
26573116,79300035,Sandy loam,Sandy loam
26573116,79300036,Sandy clay loam,Sandy clay loam
26573116,79300037,Sandy clay loam,Sandy clay loam
26573144,79300144,Sandy loam,Sandy loam
26573144,79300145,Sandy clay loam,Sandy clay loam
26573144,79300146,Gravelly sandy clay loam,Sandy clay loam
26573144,79300147,Paragravelly sandy clay loam,Sandy clay loam
26573144,79300148,Sandy clay loam,Sandy clay loam
26573143,79300139,Paragravelly sandy clay loam,Sandy clay loam
26573143,79300140,Sandy clay loam,Sandy clay loam
26573143,79300141,Sandy clay loam,Sandy clay loam
26573143,79300142,Gravelly sandy clay loam,Sandy clay loam
26573143,79300143,Sandy loam,Sandy loam
26573131,79300078,Loamy sand,Loamy sand
26573131,79300079,Loamy sand,Loamy sand
26573131,79300080,Sandy clay loam,Sandy clay loam
26573131,79300081,Sandy clay loam,Sandy clay loam
26573131,79300082,Sandy loam,Sandy loam
26573132,79300083,Loamy sand,Loamy sand
