cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26513225,2455431,80,Orangeburg,B,Well drained,7,79104141,13,30,31,0.13,75,15,1.6,0.25
26513225,2455431,80,Orangeburg,B,Well drained,7,79104138,30,56,9,0.15,61.5,26.5,1.64,0.25
26513225,2455431,80,Orangeburg,B,Well drained,7,79104139,56,203,9,0.11,53.5,32.5,1.6,0.25
26543338,325579,90,Ardilla,C/D,Somewhat poorly drained,1,79206028,0,20,92,0.09,82.5,8.5,1.58,0.75
26543338,325579,90,Ardilla,C/D,Somewhat poorly drained,1,79206029,20,41,92,0.09,78,12,1.62,0.5
26543338,325579,90,Ardilla,C/D,Somewhat poorly drained,1,79206030,41,89,9,0.12,55.8,26.5,1.62,0.25
26543338,325579,90,Ardilla,C/D,Somewhat poorly drained,1,79206031,89,152,2.7,0.08,55.5,30,1.7,0.25
26543316,325583,80,Cowarts,C,Well drained,7,79205894,0,18,46,0.09,83,8,1.6,1.25
26543316,325583,80,Cowarts,C,Well drained,7,79205895,18,25,46,0.09,83,8,1.64,0.6
26543316,325583,80,Cowarts,C,Well drained,7,79205896,25,35,28,0.08,69.5,12.5,1.56,0.75
26543316,325583,80,Cowarts,C,Well drained,7,79205897,35,66,9,0.11,61,32.5,1.6,0.25
26543316,325583,80,Cowarts,C,Well drained,7,79205898,66,91,9,0.11,61,32.5,1.6,0.25
26543316,325583,80,Cowarts,C,Well drained,7,79205899,91,165,2,0.09,61,32.5,1.66,0.25
26543307,325587,80,Dothan,B,Well drained,3,79205851,0,30,28,0.08,85.7,5.3,1.58,0.25
26543307,325587,80,Dothan,B,Well drained,3,79205852,30,61,9,0.14,61.8,29.8,1.61,0.15
26543307,325587,80,Dothan,B,Well drained,3,79205853,61,86,9,0.14,61.8,29.8,1.61,0.15
26543307,325587,80,Dothan,B,Well drained,3,79205854,86,122,9,0.14,61.8,30,1.61,0.15
26543307,325587,80,Dothan,B,Well drained,3,79205855,122,165,2.7,0.09,58,34,1.67,0.1
26543319,325593,80,Fuquay,B,Well drained,3,79205916,0,25,92,0.07,85.7,5.3,1.59,1
26543319,325593,80,Fuquay,B,Well drained,3,79205911,25,56,92,0.07,87.2,6.1,1.65,0.15
26543319,325593,80,Fuquay,B,Well drained,3,79205912,56,71,92,0.07,87.2,6.1,1.65,0.15
26543319,325593,80,Fuquay,B,Well drained,3,79205913,71,91,14,0.14,81.3,15.4,1.64,0.15
26543319,325593,80,Fuquay,B,Well drained,3,79205914,91,109,9,0.12,61.8,29.8,1.66,0.15
26543319,325593,80,Fuquay,B,Well drained,3,79205915,109,165,2.7,0.12,61.8,29.8,1.68,0.15
26543284,325596,60,Kinston,B/D,Poorly drained,1,79205799,0,15,28,0.16,62.5,11.5,1.5,3.5
26543284,325596,60,Kinston,B/D,Poorly drained,1,79205800,15,112,9,0.16,55.8,26.5,1.4,0.25
26543284,325596,60,Kinston,B/D,Poorly drained,1,79205801,112,157,9,0.15,80,15,1.6,0.75
26543283,325596,40,Osier,A/D,Poorly drained,1,79205796,0,15,92,0.13,67.3,12.5,1.48,3.5
26543283,325596,40,Osier,A/D,Poorly drained,1,79205797,15,30,92,0.07,92.9,5.5,1.5,0.25
26543283,325596,40,Osier,A/D,Poorly drained,1,79205798,30,165,141,0.04,90.1,3.5,1.5,0.25
26543302,325614,100,Susquehanna,D,Somewhat poorly drained,4,79205837,0,15,9,0.13,69,7,1.53,1.25
26543302,325614,100,Susquehanna,D,Somewhat poorly drained,4,79205838,15,203,0.21,0.18,23.3,47.5,1.38,0.25
26543314,325617,85,Tifton,B,Well drained,3,79205881,0,28,91.5,0.11,84.1,6.5,1.62,0.75
26543314,325617,85,Tifton,B,Well drained,3,79205882,28,56,28,0.17,70.5,19.5,1.6,0.5
26543314,325617,85,Tifton,B,Well drained,3,79205885,56,102,9,0.16,63.5,27,1.6,0.25
