agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,geometry
USGS,313850084042301,13M061,GW,313850.0,840423.0,31.64739596,-84.0729616,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,240.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1900.0,19831121.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,C,160.0,160.0,D,0451307900,POINT (-84.0729616 31.64739596)
USGS,313855084160001,11M038,GW,313855.93,841600.16,31.64886944,-84.2667111,D,H,NAD83,NAD83,13,13,13177,US,,SASSER,24000.0,249.0,N,5.0,NAVD88,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19921103.0,,,,EST,Y,C,,S100SECSLP,124CLBR,C,360.0,440.0,D,2503-00700,POINT (-84.2667111 31.64886944)
USGS,313859084101401,12M035,GW,313856.0,841014.0,31.64906157,-84.170464,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,233.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19840101.0,19960402.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,C,165.0,165.0,D,,POINT (-84.170464 31.64906157)
USGS,313904084062601,13M047,GW,313904.0,840622.0,31.65128444,-84.106018,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,200.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,,,,0451300200,POINT (-84.106018 31.65128444)
USGS,313914084170101,11M016,GW,313914.0,841701.0,31.65406039,-84.2835223,M,F,NAD27,NAD83,13,13,13177,US,,SASSER,24000.0,268.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1980.0,,,,EST,Y,U,YYYYNNNN,S400FLORDN,120FLRD,,150.0,150.0,O,0451307700,POINT (-84.2835223 31.65406039)
USGS,313916084043901,13M063,GW,313916.0,840439.0,31.654618,-84.0774061,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,247.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1900.0,19851121.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,C,160.0,160.0,D,0451307900,POINT (-84.0774061 31.654618)
USGS,313918084053101,13M008,GW,313918.0,840531.0,31.6551734,-84.0918509,M,U,NAD27,NAD83,13,13,13177,US,,"ALBANY NE, GA",24000.0,240.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19820101.0,19820101.0,,,EST,Y,U,YYNNNYNN,S400FLORDN,120FLRDU,C,143.0,180.0,S,,POINT (-84.0918509 31.6551734)
USGS,313919084113801,12M060,GW,313918.9,841138.22,31.65525,-84.19395,G,5,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,222.0,M,5.0,NAVD88,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,20100526.0,,,EST,Y,C,YY   Y,,120FLRDU,,125.0,125.0,A,,POINT (-84.19395 31.65525)
USGS,313922084035801,13M082,GW,313922.0,840358.0,31.65628477,-84.066017,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,252.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1900.0,19831121.0,,,EST,Y,C,YYYNNYNN,S400FLORDN,120FLRDU,C,160.0,160.0,D,0451307900,POINT (-84.066017 31.65628477)
USGS,313930084161201,11M036,GW,313930.53,841612.04,31.65848056,-84.2700111,D,H,NAD83,NAD83,13,13,13177,US,,SASSER,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.2700111 31.65848056)
USGS,313931084115101,12M013,GW,314000.0,841228.0,31.66683864,-84.2076873,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,230.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19670419.0,,,,EST,Y,U,YYNNNYNN,S400FLORDN,120FLRDU,,158.0,158.0,,0451306700,POINT (-84.2076873 31.66683864)
USGS,313933084161501,11M035,GW,313933.16,841615.31,31.6592111,-84.2709194,D,H,NAD83,NAD83,13,13,13177,US,,SASSER,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.2709194 31.6592111)
